model coefficient of trajectory,plot.id,parameter of each trajectory,region,current systems,current fluctuation
0.01761,AP 2,Linear Éø,Eastern Hokkaido,1,1
0.01076,MB 4,Linear Éø,Eastern Hokkaido,1,1
0.0126,MB 5,Linear Éø,Eastern Hokkaido,1,1
0.01021,MC 1,Linear Éø,Eastern Hokkaido,1,1
0.01114,MC 3,Linear Éø,Eastern Hokkaido,1,1
0.01817,MZ 2,Linear Éø,Eastern Hokkaido,1,1
0.02213,MZ 4,Linear Éø,Eastern Hokkaido,1,1
0.01133,NN 3,Linear Éø,Eastern Hokkaido,1,1
0.2838,AP 3,Stable É”1 ,Eastern Hokkaido,1,1
0.3201,MB 1,Stable É”1 ,Eastern Hokkaido,1,1
0.3454,MB 3,Stable É”1 ,Eastern Hokkaido,1,1
0.3321,MZ 4,Stable É”1 ,Eastern Hokkaido,1,1
0.3437,MZ 1,Stable É”1 ,Eastern Hokkaido,1,1
0.2874,MZ 3,Stable É”1 ,Eastern Hokkaido,1,1
0.307,MZ 5,Stable É”1 ,Eastern Hokkaido,1,1
0.2553,NN 1,Stable É”1 ,Eastern Hokkaido,1,1
0.2529,NN 2,Stable É”1 ,Eastern Hokkaido,1,1
0.388,NN 4,Stable É”1 ,Eastern Hokkaido,1,1
0.5979,NN 5,Stable É”1 ,Eastern Hokkaido,1,1
-0.381,AP 3,Stable É”2,Eastern Hokkaido,1,1
-1.9581,MB 1,Stable É”2,Eastern Hokkaido,1,1
-0.4552,MB 3,Stable É”2,Eastern Hokkaido,1,1
-0.4004,MZ 4,Stable É”2,Eastern Hokkaido,1,1
-0.446,MZ 1,Stable É”2,Eastern Hokkaido,1,1
-0.6546,MZ 3,Stable É”2,Eastern Hokkaido,1,1
-0.5072,MZ 5,Stable É”2,Eastern Hokkaido,1,1
-0.7974,NN 1,Stable É”2,Eastern Hokkaido,1,1
-0.2646,NN 2,Stable É”2,Eastern Hokkaido,1,1
-0.8671,NN 4,Stable É”2,Eastern Hokkaido,1,1
-0.903,NN 5,Stable É”2,Eastern Hokkaido,1,1
0.01697,HR 4,Linear Éø,Southern Hokkaido,1,2
0.01047,SS 4,Linear Éø,Southern Hokkaido,1,2
0.00856,US 1,Linear Éø,Southern Hokkaido,1,2
0.282,ES 4,Stable É”1 ,Southern Hokkaido,1,2
0.33,ES 5,Stable É”1 ,Southern Hokkaido,1,2
0.3913,HR 1,Stable É”1 ,Southern Hokkaido,1,2
0.2911,HR 2,Stable É”1 ,Southern Hokkaido,1,2
0.2688,HR 3,Stable É”1 ,Southern Hokkaido,1,2
0.2807,HR 5,Stable É”1 ,Southern Hokkaido,1,2
0.3035,IW 1,Stable É”1 ,Southern Hokkaido,1,2
0.3807,IW 2,Stable É”1 ,Southern Hokkaido,1,2
0.3687,IW 3,Stable É”1 ,Southern Hokkaido,1,2
0.3003,IW 4,Stable É”1 ,Southern Hokkaido,1,2
0.3595,SS 5,Stable É”1 ,Southern Hokkaido,1,2
0.3227,US 2,Stable É”1 ,Southern Hokkaido,1,2
0.2919,US 3,Stable É”1 ,Southern Hokkaido,1,2
-0.5564,ES 4,Stable É”2,Southern Hokkaido,1,2
-0.6098,ES 5,Stable É”2,Southern Hokkaido,1,2
