plot.id,year,dist,region
AP 1,2003,0,Eastern Hokkaido
AP 1,2004,0.272727273,Eastern Hokkaido
AP 1,2005,0.230769231,Eastern Hokkaido
AP 1,2006,0.25,Eastern Hokkaido
AP 1,2007,0.217391304,Eastern Hokkaido
AP 1,2008,0.368421053,Eastern Hokkaido
AP 1,2009,0.28,Eastern Hokkaido
AP 1,2010,0.36,Eastern Hokkaido
AP 1,2011,0.416666667,Eastern Hokkaido
AP 1,2012,0.363636364,Eastern Hokkaido
AP 1,2013,0.28,Eastern Hokkaido
AP 1,2014,0.181818182,Eastern Hokkaido
AP 1,2015,0.28,Eastern Hokkaido
AP 1,2016,0.25,Eastern Hokkaido
AP 1,2017,0.130434783,Eastern Hokkaido
AP 1,2018,0.363636364,Eastern Hokkaido
AP 2,2003,0,Eastern Hokkaido
AP 2,2004,0.310344828,Eastern Hokkaido
AP 2,2005,0.257142857,Eastern Hokkaido
AP 2,2006,0.225806452,Eastern Hokkaido
AP 2,2007,0.2,Eastern Hokkaido
AP 2,2008,0.428571429,Eastern Hokkaido
AP 2,2009,0.448275862,Eastern Hokkaido
AP 2,2010,0.448275862,Eastern Hokkaido
AP 2,2011,0.379310345,Eastern Hokkaido
AP 2,2012,0.384615385,Eastern Hokkaido
AP 2,2013,0.272727273,Eastern Hokkaido
AP 2,2014,0.333333333,Eastern Hokkaido
AP 2,2015,0.297297297,Eastern Hokkaido
AP 2,2016,0.419354839,Eastern Hokkaido
AP 2,2017,0.448275862,Eastern Hokkaido
AP 2,2018,0.44,Eastern Hokkaido
AP 4,2003,0,Eastern Hokkaido
AP 4,2004,0.28,Eastern Hokkaido
AP 4,2005,0.133333333,Eastern Hokkaido
AP 4,2006,0.185185185,Eastern Hokkaido
AP 4,2007,0.230769231,Eastern Hokkaido
AP 4,2008,0.428571429,Eastern Hokkaido
AP 4,2009,0.333333333,Eastern Hokkaido
AP 4,2010,0.44,Eastern Hokkaido
AP 4,2011,0.285714286,Eastern Hokkaido
AP 4,2012,0.416666667,Eastern Hokkaido
AP 4,2013,0.333333333,Eastern Hokkaido
AP 4,2014,0.28,Eastern Hokkaido
AP 4,2015,0.290322581,Eastern Hokkaido
AP 4,2016,0.384615385,Eastern Hokkaido
AP 4,2017,0.333333333,Eastern Hokkaido
AP 4,2018,0.310344828,Eastern Hokkaido
AP 5,2003,0,Eastern Hokkaido
AP 5,2004,0.28,Eastern Hokkaido
AP 5,2005,0.310344828,Eastern Hokkaido
AP 5,2006,0.214285714,Eastern Hokkaido
AP 5,2007,0.142857143,Eastern Hokkaido
AP 5,2008,0.47826087,Eastern Hokkaido
AP 5,2009,0.24137931,Eastern Hokkaido
AP 5,2010,0.285714286,Eastern Hokkaido
AP 5,2011,0.125,Eastern Hokkaido
AP 5,2012,0.416666667,Eastern Hokkaido
AP 5,2013,0.259259259,Eastern Hokkaido
AP 5,2014,0.285714286,Eastern Hokkaido
AP 5,2015,0.333333333,Eastern Hokkaido
AP 5,2016,0.2,Eastern Hokkaido
AP 5,2017,0.24137931,Eastern Hokkaido
AP 5,2018,0.285714286,Eastern Hokkaido
MB 1,2003,0,Eastern Hokkaido
MB 1,2004,0.25,Eastern Hokkaido
MB 1,2005,0.368421053,Eastern Hokkaido
MB 1,2006,0.294117647,Eastern Hokkaido
MB 1,2007,0.222222222,Eastern Hokkaido
MB 1,2008,0.368421053,Eastern Hokkaido
MB 1,2009,0.3,Eastern Hokkaido
MB 1,2010,0.333333333,Eastern Hokkaido
MB 1,2011,0.363636364,Eastern Hokkaido
MB 1,2012,0.333333333,Eastern Hokkaido
MB 1,2013,0.304347826,Eastern Hokkaido
MB 1,2014,0.411764706,Eastern Hokkaido
MB 1,2015,0.238095238,Eastern Hokkaido
MB 1,2016,0.307692308,Eastern Hokkaido
MB 1,2017,0.272727273,Eastern Hokkaido
MB 1,2018,0.4,Eastern Hokkaido
MB 2,2003,0,Eastern Hokkaido
MB 2,2004,0.5,Eastern Hokkaido
MB 2,2005,0.25,Eastern Hokkaido
MB 2,2006,0.111111111,Eastern Hokkaido
MB 2,2007,0.294117647,Eastern Hokkaido
MB 2,2008,0.238095238,Eastern Hokkaido
MB 2,2009,0.263157895,Eastern Hokkaido
MB 2,2010,0.272727273,Eastern Hokkaido
MB 2,2011,0.363636364,Eastern Hokkaido
MB 2,2012,0.263157895,Eastern Hokkaido
MB 2,2013,0.333333333,Eastern Hokkaido
MB 2,2014,0.294117647,Eastern Hokkaido
MB 2,2015,0.272727273,Eastern Hokkaido
MB 2,2016,0.130434783,Eastern Hokkaido
MB 2,2017,0.272727273,Eastern Hokkaido
MB 2,2018,0.263157895,Eastern Hokkaido
MB 4,2003,0,Eastern Hokkaido
MB 4,2004,0.24137931,Eastern Hokkaido
MB 4,2005,0.225806452,Eastern Hokkaido
MB 4,2006,0.24137931,Eastern Hokkaido
MB 4,2007,0.172413793,Eastern Hokkaido
MB 4,2008,0.24137931,Eastern Hokkaido
MB 4,2009,0.333333333,Eastern Hokkaido
MB 4,2010,0.3125,Eastern Hokkaido
MB 4,2011,0.290322581,Eastern Hokkaido
MB 4,2012,0.24137931,Eastern Hokkaido
MB 4,2013,0.294117647,Eastern Hokkaido
MB 4,2014,0.357142857,Eastern Hokkaido
MB 4,2015,0.272727273,Eastern Hokkaido
MB 4,2016,0.290322581,Eastern Hokkaido
MB 4,2017,0.266666667,Eastern Hokkaido
MB 4,2018,0.310344828,Eastern Hokkaido
MB 5,2003,0,Eastern Hokkaido
MB 5,2004,0.272727273,Eastern Hokkaido
MB 5,2005,0.166666667,Eastern Hokkaido
MB 5,2006,0.2,Eastern Hokkaido
MB 5,2007,0.090909091,Eastern Hokkaido
MB 5,2008,0.230769231,Eastern Hokkaido
MB 5,2009,0.166666667,Eastern Hokkaido
MB 5,2010,0.375,Eastern Hokkaido
MB 5,2011,0.142857143,Eastern Hokkaido
MB 5,2012,0.230769231,Eastern Hokkaido
MB 5,2013,0.333333333,Eastern Hokkaido
MB 5,2014,0.25,Eastern Hokkaido
MB 5,2015,0.368421053,Eastern Hokkaido
MB 5,2016,0.368421053,Eastern Hokkaido
