temporal invariability of species richness,temporal invariability of species composition,temporal invariability of community abundance,plot.id,region,each trajectory type,current systems,current fluctuation
3.875288008,0.595720222,6.517102653,AP 2,Eastern Hokkaido,Linear,1,1
6.373704149,0.680852111,3.882250507,MB 4,Eastern Hokkaido,Linear,1,1
2.746152586,0.6445893,3.929771451,MB 5,Eastern Hokkaido,Linear,1,1
5.584665098,0.767647908,1.921669843,MC 1,Eastern Hokkaido,Linear,1,1
7.134454756,0.770150782,2.192119746,MC 3,Eastern Hokkaido,Linear,1,1
6.221362965,0.699244089,6.816793262,MZ 2,Eastern Hokkaido,Linear,1,1
4.355596642,0.597638162,6.041548231,MZ 4,Eastern Hokkaido,Linear,1,1
4.20405485,0.584063401,2.988866216,NN 3,Eastern Hokkaido,Linear,1,1
5.858449,0.672980892,3.145642,AP 3,Eastern Hokkaido,Stable,1,1
3.869388219,0.615800953,3.773476662,MB 1,Eastern Hokkaido,Stable,1,1
5.627268,0.622919388,3.09706,MB 3,Eastern Hokkaido,Stable,1,1
6.851631407,0.720492858,3.258102592,MZ 4,Eastern Hokkaido,Stable,1,1
6.454972244,0.575347708,6.611995974,MZ 1,Eastern Hokkaido,Stable,1,1
8.517048311,0.744384874,4.538114211,MZ 3,Eastern Hokkaido,Stable,1,1
6.906852,0.670102654,4.91554,MZ 5,Eastern Hokkaido,Stable,1,1
4.757512856,0.672637918,2.15793021,NN 1,Eastern Hokkaido,Stable,1,1
4.176120621,0.744496244,2.630161635,NN 2,Eastern Hokkaido,Stable,1,1
4.010172301,0.565594406,2.187505419,NN 4,Eastern Hokkaido,Stable,1,1
3.162811328,0.513480501,2.703990768,NN 5,Eastern Hokkaido,Stable,1,1
4.243601321,0.616086833,2.270264794,AP 4,Eastern Hokkaido,abrupt,1,1
7.664874,0.768386842,2.816146224,MC 2,Eastern Hokkaido,abrupt,1,1
6.535714286,0.633280021,3.026644225,AP 1,Eastern Hokkaido,Unresolve,1,1
4.85,0.59326145,2.248229648,AP 5,Eastern Hokkaido,Unresolve,1,1
3.830407786,0.576239316,4.871960082,MB 2,Eastern Hokkaido,Unresolve,1,1
4.390272869,0.635411255,3.158954682,MC 5,Eastern Hokkaido,Unresolve,1,1
2.475961924,0.474506975,13.01875608,HR 4,Southern Hokkaido,Linear,1,2
4.482549688,0.622234184,6.893001341,SS 4,Southern Hokkaido,Linear,1,2
3.398313335,0.621378066,5.276605895,US 1,Southern Hokkaido,Linear,1,2
7.204692362,0.641917802,35.66041762,ES 4,Southern Hokkaido,Stable,1,2
5.097135653,0.596417729,11.37659,ES 5,Southern Hokkaido,Stable,1,2
5.314981805,0.606479142,21.14625216,HR 1,Southern Hokkaido,Stable,1,2
4.127944087,0.571076956,10.79496584,HR 2,Southern Hokkaido,Stable,1,2
8.164371282,0.688117511,35.18533175,HR 3,Southern Hokkaido,Stable,1,2
6.15,0.62617385,17.99310716,HR 5,Southern Hokkaido,Stable,1,2
6.611166635,0.629239825,16.34826131,IW 1,Southern Hokkaido,Stable,1,2
4.03337384,0.506934703,19.68632169,IW 2,Southern Hokkaido,Stable,1,2
7.93804132,0.628206271,10.07767609,IW 3,Southern Hokkaido,Stable,1,2
6.362737627,0.606886468,30.52523174,IW 4,Southern Hokkaido,Stable,1,2
2.90473751,0.576666667,7.945717,SS 5,Southern Hokkaido,Stable,1,2
4.830908444,0.524199113,20.71256448,US 2,Southern Hokkaido,Stable,1,2
7.081735885,0.610837532,6.191765739,US 3,Southern Hokkaido,Stable,1,2
8.264218,0.634441342,9.448763,IW 5,Southern Hokkaido,Unresolve,1,2
4.937847604,0.617467627,17.71459173,US 4,Southern Hokkaido,Unresolve,1,2
4.938660633,0.576821859,3.753606832,US 5,Southern Hokkaido,Unresolve,1,2
5.629789273,0.549308406,6.337199,AG 1,Rikuchu,Stable,1,3
6.142553004,0.591700308,7.712523863,AG 2,Rikuchu,Stable,1,3
2.857174544,0.561428527,6.369008786,AG 3,Rikuchu,Stable,1,3
2.633826729,0.455845712,5.710596039,AG 4,Rikuchu,Stable,1,3
3.654039912,0.518337819,4.263025056,AG 5,Rikuchu,Stable,1,3
5.688817,0.586222187,4.469963,AK 1,Rikuchu,Stable,1,3
5.359232,0.554267754,6.956731,AK 2,Rikuchu,Stable,1,3
5.083625,0.524013427,2.813881,AK 5,Rikuchu,Stable,1,3
2.655514181,0.520419047,3.709942272,KG 1,Rikuchu,Stable,1,3
4.764156415,0.604026177,3.807143324,KG 2,Rikuchu,Stable,1,3
3.832457243,0.558308081,4.787523096,KG 3,Rikuchu,Stable,1,3
4.940494119,0.534515902,4.141604414,KG 4,Rikuchu,Stable,1,3
5.001487874,0.564213041,3.165389968,KG 5,Rikuchu,Stable,1,3
